restaurant,rating,review,review_length,biryani_order,Biryani,Ambience,Service,Quality,Buffet,tsne1,tsne2,label
Athithi Grand Restaurant,4.282608695652174,23,149.95652173913044,0.2308987454897162,0.08239175812918256,0.07988964003206102,0.3859305584310617,0.13244057332603473,0.08844872459194376,-0.5360815,7.3793087,2
Atithi,4.161904761904762,105,351.32380952380964,0.06515907097440886,0.02460710282246931,0.06346076846653191,0.35960855025799543,0.1330112324400908,0.3160580369432654,-24.297810000000002,-22.682806,0
Auntie Fung's,4.4,15,410.73333333333335,0.2783649510528727,0.003962472008002299,0.03706867183338216,0.5181350356299277,0.07718391820735095,0.0852849512684642,-18.358963,14.786898,3
Avanti Indian Barbeque Grill,4.583333333333333,24,261.25,0.1751742393653205,0.021564764085056042,0.06791119895110778,0.5328952832184292,0.0614780506604834,0.14097646371960312,-21.659893,5.88566,2
Axomi Taste of Assam,4.1875,16,557.875,0.1855435770086532,0.030528158812799067,0.007977366742014377,0.3628002972833791,0.3201385526544922,0.09301204749866214,6.434314,-14.333488000000001,0
Ayda Persian Kitchen,4.125,16,351.0625,0.20009491769647372,0.030624122832689588,0.10752893713615996,0.4719937435714946,0.10572858117867297,0.08402969758450897,-16.635714,8.017851,2
BYLI Bet You Love It ,4.2105263157894735,19,497.73684210526324,0.3269480669982741,0.010029498121866884,0.046326957454639286,0.492651014965359,0.08176654980050571,0.04227791265935518,-8.062023,20.233767999999998,3
Baahubelly,4.6923076923076925,39,259.61538461538464,0.18641586937214752,0.08264730952927286,0.11544607976588353,0.4496763234169397,0.08852803028336073,0.07728638763239566,-12.256762,8.074442,2
Baba Chatkora,4.309523809523808,42,430.0,0.10741609642636388,0.05141136017700638,0.07889485080760424,0.4196610552391564,0.19806717604858426,0.14454946130128507,-13.799585999999998,-11.742028999999999,1
Baba Da Dhaba,4.32,50,394.8,0.21811162440073192,0.04637220269585428,0.06627111944954275,0.4626156247891026,0.10031985603081577,0.1063095726339528,-12.897745,10.907485000000001,2
Bahar Cafe,4.3125,16,325.5,0.2750296057893352,0.293778760972756,0.02556584629866986,0.13971460874370228,0.22315852965817687,0.04275264853735988,36.165065999999996,4.94064,2
Balaji Abhiruchi Multicuisine Restaurant,4.615384615384615,13,57.615384615384606,0.10462598260064468,0.0784040869368804,0.14768949319303,0.10664205942402223,0.23843221035191065,0.016513859801204386,24.77528,-12.544583,1
Bamboo Heights,4.2075471698113205,53,374.84905660377365,0.061615124583730564,0.02698477757589486,0.11117375197719588,0.6186578627799962,0.10105723783450804,0.0805112452486745,-32.495525,3.5532787000000003,2
